Movimentação na conta,Duração em meses,Histórico de pagamentos,Finalidade do crédito,Valor do crédito,Saldo em conta poupança/títulos,Emprego atual desde,Comprometimento de Renda,Estado civil e sexo,Outros devedores/garantidores,Residência atual desde,Bem/Propriedade Principal,Idade em anos,Parcelamento com terceiros,Forma de Moradia,Número de créditos existentes neste banco,Emprego,Número de dependentes,Possui Telefone,Trabalhador estrangeiro,Target
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,3123,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,27,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,36,pgto em dia neste banco (em aberto),carro usado,5493,< 100 $,>= 7 anos,2,masc-solteiro,n/há,4,n/há,42,n/há,gratuita,1,empregado-formadoouservidorpublico,2,não,sim,1
>= 200 $,9,pgto em dia neste banco (em aberto),radio ou televisao,1126,>= 100 < 500 $,>= 7 anos,2,masc-divorciado,n/há,4,imovel,49,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,24,conta critica / dividas com terceiros,radio ou televisao,1216,>= 100 < 500 $,< 1 ano,4,masc-solteiro,n/há,4,n/há,38,banco,própria,2,empregado-formadoouservidorpublico,2,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,1207,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,24,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,10,pgto em dia neste banco (em aberto),carro novo,1309,n/há,< 4 anos,4,masc-solteiro,garantidor,4,poupança ou seguro de vida,27,n/há,própria,1,empregado-semformacao-residente,1,não,sim,2
>= 200 $,15,conta critica / dividas com terceiros,carro usado,2360,>= 500 < 1000 $,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,36,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,15,pgto em dia neste banco (quitado),carro novo,6850,>= 100 < 500 $,desempregado,1,masc-solteiro,n/há,2,poupança ou seguro de vida,34,n/há,própria,1,empresario-gerente-altaqualificacao,2,sim,sim,2
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,1413,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,2,poupança ou seguro de vida,28,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,39,pgto em dia neste banco (em aberto),carro usado,8588,>= 100 < 500 $,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,45,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,759,< 100 $,< 7 anos,4,masc-solteiro,n/há,2,imovel,26,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,36,pgto em dia neste banco (em aberto),carro usado,4686,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,n/há,32,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 200 $,15,pgto em dia neste banco (em aberto),negocios,2687,< 100 $,< 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,26,n/há,aluguel,1,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,12,pgto em atraso no passado,radio ou televisao,585,< 100 $,< 4 anos,4,masc-casadoouviuvo,codevedor,4,imovel,20,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),carro novo,2255,n/há,< 1 ano,4,masc-solteiro,n/há,1,poupança ou seguro de vida,54,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,6,conta critica / dividas com terceiros,carro novo,609,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,37,n/há,própria,2,empregado-formadoouservidorpublico,1,não,não,1
< 0 $,6,conta critica / dividas com terceiros,carro novo,1361,< 100 $,< 1 ano,2,masc-solteiro,n/há,4,imovel,40,n/há,própria,1,empregado-semformacao-residente,2,não,não,1
n/há,36,conta critica / dividas com terceiros,moveis e equipamentos,7127,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,23,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,6,pgto em dia neste banco (em aberto),carro novo,1203,>= 100 < 500 $,>= 7 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,43,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,6,conta critica / dividas com terceiros,radio ou televisao,700,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,36,n/há,gratuita,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,reparos,5507,< 100 $,>= 7 anos,3,masc-solteiro,n/há,4,n/há,44,n/há,gratuita,2,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),radio ou televisao,3190,< 100 $,< 4 anos,2,femi-divorciadaoucasada,n/há,2,imovel,24,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,48,nenhum/pgto em dia,moveis e equipamentos,7119,< 100 $,< 4 anos,3,masc-solteiro,n/há,4,n/há,53,n/há,gratuita,2,empregado-formadoouservidorpublico,2,não,sim,2
n/há,24,pgto em dia neste banco (em aberto),carro usado,3488,>= 100 < 500 $,< 7 anos,3,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,23,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,18,pgto em dia neste banco (em aberto),radio ou televisao,1113,< 100 $,< 4 anos,4,femi-divorciadaoucasada,garantidor,4,imovel,26,n/há,própria,1,empregado-semformacao-residente,2,não,sim,1
>= 0 < 200 $,26,pgto em dia neste banco (em aberto),carro usado,7966,< 100 $,< 1 ano,2,masc-solteiro,n/há,3,carro ou outros-quitado,30,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,15,conta critica / dividas com terceiros,educacao,1532,>= 100 < 500 $,< 4 anos,4,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,31,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,4,conta critica / dividas com terceiros,radio ou televisao,1503,< 100 $,< 7 anos,2,masc-solteiro,n/há,1,imovel,42,n/há,própria,2,empregado-semformacao-residente,2,não,sim,1
< 0 $,36,pgto em dia neste banco (em aberto),radio ou televisao,2302,< 100 $,< 4 anos,4,masc-divorciado,n/há,4,carro ou outros-quitado,31,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,6,pgto em dia neste banco (em aberto),carro novo,662,< 100 $,< 1 ano,3,masc-solteiro,n/há,4,imovel,41,n/há,própria,1,empregado-semformacao-residente,2,sim,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),educacao,2273,< 100 $,< 7 anos,3,masc-solteiro,n/há,1,carro ou outros-quitado,32,n/há,própria,2,empregado-formadoouservidorpublico,2,não,sim,1
>= 0 < 200 $,15,pgto em dia neste banco (em aberto),carro novo,2631,>= 100 < 500 $,< 4 anos,2,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,28,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,2
n/há,12,pgto em atraso no passado,carro usado,1503,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,4,imovel,41,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,1311,>= 100 < 500 $,< 7 anos,4,masc-casadoouviuvo,n/há,3,poupança ou seguro de vida,26,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,3105,n/há,< 1 ano,4,masc-solteiro,n/há,2,carro ou outros-quitado,25,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,21,conta critica / dividas com terceiros,educacao,2319,< 100 $,< 1 ano,2,masc-divorciado,n/há,1,carro ou outros-quitado,33,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,6,pgto em dia neste banco (em aberto),carro novo,1374,n/há,desempregado,4,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,75,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,moveis e equipamentos,3612,< 100 $,>= 7 anos,3,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,37,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,48,pgto em dia neste banco (em aberto),carro novo,7763,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,42,banco,gratuita,1,empresario-gerente-altaqualificacao,1,não,sim,2
>= 200 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,3049,< 100 $,< 1 ano,1,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,45,loja,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1534,< 100 $,< 1 ano,1,masc-casadoouviuvo,n/há,1,imovel,23,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,pgto em atraso no passado,carro novo,2032,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,n/há,60,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,30,pgto em dia neste banco (em aberto),moveis e equipamentos,6350,n/há,>= 7 anos,4,masc-solteiro,n/há,4,poupança ou seguro de vida,31,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 200 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,2864,< 100 $,< 4 anos,2,masc-solteiro,n/há,1,imovel,34,n/há,própria,1,empregado-semformacao-residente,2,não,sim,2
n/há,12,conta critica / dividas com terceiros,carro novo,1255,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,imovel,61,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
< 0 $,24,pgto em atraso no passado,carro novo,1333,< 100 $,desempregado,4,masc-solteiro,n/há,2,imovel,43,n/há,gratuita,2,empregado-formadoouservidorpublico,2,não,sim,2
n/há,24,conta critica / dividas com terceiros,carro novo,2022,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,37,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,pgto em dia neste banco (em aberto),radio ou televisao,1552,< 100 $,< 7 anos,3,masc-solteiro,n/há,1,carro ou outros-quitado,32,banco,própria,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,12,pgto em dia neste banco (quitado),radio ou televisao,626,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,imovel,24,banco,própria,1,empregado-semformacao-residente,1,não,sim,2
n/há,48,conta critica / dividas com terceiros,carro usado,8858,n/há,< 7 anos,2,masc-solteiro,n/há,1,n/há,35,n/há,gratuita,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,12,conta critica / dividas com terceiros,reparos,996,n/há,< 7 anos,4,femi-divorciadaoucasada,n/há,4,imovel,23,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,6,pgto em dia neste banco (quitado),radio ou televisao,1750,>= 500 < 1000 $,>= 7 anos,2,masc-solteiro,n/há,4,poupança ou seguro de vida,45,banco,própria,1,empregado-semformacao-residente,2,não,sim,1
< 0 $,48,pgto em dia neste banco (em aberto),radio ou televisao,6999,< 100 $,< 7 anos,1,masc-casadoouviuvo,garantidor,1,imovel,34,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,12,conta critica / dividas com terceiros,carro novo,1995,>= 100 < 500 $,< 1 ano,4,masc-solteiro,n/há,1,carro ou outros-quitado,27,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),educacao,1199,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,67,n/há,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,1331,< 100 $,< 1 ano,2,masc-solteiro,n/há,1,carro ou outros-quitado,22,loja,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,18,nenhum/pgto em dia,carro novo,2278,>= 100 < 500 $,< 1 ano,3,femi-divorciadaoucasada,n/há,3,carro ou outros-quitado,28,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,21,nenhum/pgto em dia,carro novo,5003,n/há,< 4 anos,1,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,29,banco,própria,2,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,24,pgto em dia neste banco (quitado),moveis e equipamentos,3552,< 100 $,< 7 anos,3,masc-solteiro,n/há,4,carro ou outros-quitado,27,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,18,conta critica / dividas com terceiros,moveis e equipamentos,1928,< 100 $,< 1 ano,2,masc-solteiro,n/há,2,imovel,31,n/há,própria,2,empregado-semformacao-residente,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),carro usado,2964,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,49,banco,gratuita,1,empregado-formadoouservidorpublico,2,sim,sim,1
< 0 $,24,pgto em dia neste banco (quitado),radio ou televisao,1546,< 100 $,< 7 anos,4,masc-solteiro,garantidor,4,carro ou outros-quitado,24,banco,aluguel,1,empregado-semformacao-residente,1,não,sim,2
>= 200 $,6,pgto em atraso no passado,radio ou televisao,683,< 100 $,< 1 ano,2,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,29,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),carro novo,12389,n/há,< 4 anos,1,masc-solteiro,n/há,4,n/há,37,n/há,gratuita,1,empregado-formadoouservidorpublico,1,sim,sim,2
>= 0 < 200 $,24,pgto em atraso no passado,negocios,4712,n/há,< 4 anos,4,masc-solteiro,n/há,2,poupança ou seguro de vida,37,banco,própria,2,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,24,pgto em atraso no passado,radio ou televisao,1553,>= 100 < 500 $,< 7 anos,3,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,23,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),carro novo,1372,< 100 $,< 7 anos,2,masc-divorciado,n/há,3,carro ou outros-quitado,36,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,conta critica / dividas com terceiros,radio ou televisao,2578,>= 1000 $,>= 7 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,34,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,48,pgto em dia neste banco (em aberto),radio ou televisao,3979,n/há,< 7 anos,4,masc-solteiro,n/há,1,carro ou outros-quitado,41,n/há,própria,2,empregado-formadoouservidorpublico,2,sim,sim,1
< 0 $,48,pgto em dia neste banco (em aberto),radio ou televisao,6758,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,31,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),moveis e equipamentos,3234,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,4,imovel,23,n/há,aluguel,1,empregado-semformacao-residente,1,sim,sim,2
n/há,30,conta critica / dividas com terceiros,radio ou televisao,5954,< 100 $,< 7 anos,3,masc-solteiro,codevedor,2,carro ou outros-quitado,38,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,pgto em dia neste banco (em aberto),carro usado,5433,n/há,desempregado,2,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,26,n/há,aluguel,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,15,pgto em dia neste banco (em aberto),negocios,806,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,22,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),radio ou televisao,1082,< 100 $,>= 7 anos,4,masc-solteiro,n/há,4,carro ou outros-quitado,27,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
n/há,15,conta critica / dividas com terceiros,moveis e equipamentos,2788,< 100 $,< 7 anos,2,femi-divorciadaoucasada,codevedor,3,carro ou outros-quitado,24,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,12,pgto em dia neste banco (em aberto),radio ou televisao,2930,< 100 $,< 7 anos,2,femi-divorciadaoucasada,n/há,1,imovel,27,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,24,conta critica / dividas com terceiros,educacao,1927,n/há,< 4 anos,3,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,33,n/há,própria,2,empregado-formadoouservidorpublico,1,sim,sim,1
>= 0 < 200 $,36,conta critica / dividas com terceiros,carro novo,2820,< 100 $,< 1 ano,4,masc-divorciado,n/há,4,carro ou outros-quitado,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,pgto em dia neste banco (em aberto),reciclagem profissional,937,< 100 $,< 1 ano,4,masc-casadoouviuvo,n/há,3,carro ou outros-quitado,27,n/há,própria,2,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,18,conta critica / dividas com terceiros,carro novo,1056,< 100 $,>= 7 anos,3,masc-solteiro,garantidor,3,imovel,30,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,12,conta critica / dividas com terceiros,carro novo,3124,< 100 $,< 1 ano,1,masc-solteiro,n/há,3,imovel,49,banco,própria,2,empregado-semformacao-residente,2,não,sim,1
n/há,9,pgto em dia neste banco (em aberto),moveis e equipamentos,1388,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,imovel,26,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),reparos,2384,< 100 $,< 1 ano,4,masc-solteiro,n/há,1,n/há,33,n/há,aluguel,1,empregado-semformacao-residente,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),carro novo,2133,n/há,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,n/há,52,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,sim,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),moveis e equipamentos,2039,< 100 $,< 4 anos,1,femi-divorciadaoucasada,n/há,4,imovel,20,banco,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,9,conta critica / dividas com terceiros,carro novo,2799,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,36,n/há,aluguel,2,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1289,< 100 $,< 4 anos,4,masc-solteiro,garantidor,1,poupança ou seguro de vida,21,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),eletrodomesticos,1217,< 100 $,< 4 anos,4,masc-casadoouviuvo,n/há,3,imovel,47,n/há,própria,1,empregado-semformacao-residente,1,sim,sim,2
< 0 $,12,conta critica / dividas com terceiros,moveis e equipamentos,2246,< 100 $,>= 7 anos,3,masc-solteiro,n/há,3,poupança ou seguro de vida,60,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,12,conta critica / dividas com terceiros,radio ou televisao,385,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,3,imovel,58,n/há,própria,4,empregado-semformacao-residente,1,sim,sim,1
>= 0 < 200 $,24,pgto em atraso no passado,carro novo,1965,n/há,< 4 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,42,n/há,aluguel,2,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,21,pgto em dia neste banco (em aberto),negocios,1572,>= 1000 $,>= 7 anos,4,femi-divorciadaoucasada,n/há,4,imovel,36,banco,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,24,pgto em dia neste banco (em aberto),carro novo,2718,< 100 $,< 4 anos,3,femi-divorciadaoucasada,n/há,4,poupança ou seguro de vida,20,n/há,aluguel,1,empregado-semformacao-residente,1,sim,sim,2
< 0 $,24,pgto em dia neste banco (quitado),outros,1358,n/há,>= 7 anos,4,masc-solteiro,n/há,3,carro ou outros-quitado,40,loja,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 0 < 200 $,6,pgto em dia neste banco (quitado),carro novo,931,>= 100 < 500 $,< 1 ano,1,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,32,loja,própria,1,empregado-semformacao-residente,1,não,sim,2
< 0 $,24,pgto em dia neste banco (em aberto),carro novo,1442,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,4,carro ou outros-quitado,23,n/há,aluguel,2,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,24,nenhum/pgto em dia,negocios,4241,< 100 $,< 4 anos,1,masc-solteiro,n/há,4,imovel,36,n/há,própria,3,empregado-semformacao-residente,1,sim,sim,2
n/há,18,conta critica / dividas com terceiros,carro novo,2775,< 100 $,< 7 anos,2,masc-solteiro,n/há,2,poupança ou seguro de vida,31,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,24,pgto em atraso no passado,negocios,3863,< 100 $,< 4 anos,1,masc-solteiro,n/há,2,n/há,32,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,7,pgto em dia neste banco (em aberto),radio ou televisao,2329,< 100 $,< 1 ano,1,femi-divorciadaoucasada,garantidor,1,imovel,45,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 0 < 200 $,9,pgto em dia neste banco (em aberto),moveis e equipamentos,918,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,1,poupança ou seguro de vida,30,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,24,pgto em dia neste banco (quitado),educacao,1837,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,4,n/há,34,banco,gratuita,1,empregado-semformacao-residente,1,não,sim,2
n/há,36,pgto em dia neste banco (em aberto),moveis e equipamentos,3349,< 100 $,< 4 anos,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,28,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,2
>= 200 $,10,pgto em dia neste banco (em aberto),moveis e equipamentos,1275,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,2,poupança ou seguro de vida,23,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,24,pgto em dia neste banco (quitado),moveis e equipamentos,2828,>= 500 < 1000 $,< 4 anos,4,masc-solteiro,n/há,4,imovel,22,loja,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
n/há,24,conta critica / dividas com terceiros,negocios,4526,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,imovel,74,n/há,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,36,pgto em dia neste banco (em aberto),radio ou televisao,2671,>= 100 < 500 $,< 4 anos,4,femi-divorciadaoucasada,codevedor,4,n/há,50,n/há,gratuita,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,18,pgto em dia neste banco (em aberto),radio ou televisao,2051,< 100 $,< 1 ano,4,masc-solteiro,n/há,1,imovel,33,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
n/há,15,pgto em dia neste banco (em aberto),carro usado,1300,n/há,>= 7 anos,4,masc-solteiro,n/há,4,n/há,45,banco,gratuita,1,empregado-formadoouservidorpublico,2,não,sim,1
< 0 $,12,pgto em dia neste banco (em aberto),eletrodomesticos,741,>= 100 < 500 $,desempregado,4,femi-divorciadaoucasada,n/há,3,poupança ou seguro de vida,22,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 200 $,10,pgto em dia neste banco (em aberto),carro novo,1240,>= 100 < 500 $,>= 7 anos,1,femi-divorciadaoucasada,n/há,4,n/há,48,n/há,gratuita,1,empregado-semformacao-residente,2,não,sim,2
< 0 $,21,pgto em dia neste banco (em aberto),radio ou televisao,3357,>= 1000 $,< 1 ano,4,femi-divorciadaoucasada,n/há,2,carro ou outros-quitado,29,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,24,pgto em dia neste banco (quitado),carro usado,3632,< 100 $,< 4 anos,1,femi-divorciadaoucasada,garantidor,4,carro ou outros-quitado,22,banco,aluguel,1,empregado-formadoouservidorpublico,1,não,não,1
n/há,18,pgto em atraso no passado,moveis e equipamentos,1808,< 100 $,< 7 anos,4,femi-divorciadaoucasada,n/há,1,imovel,22,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
>= 0 < 200 $,48,nenhum/pgto em dia,negocios,12204,n/há,< 4 anos,2,masc-solteiro,n/há,2,carro ou outros-quitado,48,banco,própria,1,empresario-gerente-altaqualificacao,1,sim,sim,1
>= 0 < 200 $,60,pgto em atraso no passado,radio ou televisao,9157,n/há,< 4 anos,2,masc-solteiro,n/há,2,n/há,27,n/há,gratuita,1,empresario-gerente-altaqualificacao,1,não,sim,1
< 0 $,6,conta critica / dividas com terceiros,carro novo,3676,< 100 $,< 4 anos,1,masc-solteiro,n/há,3,imovel,37,n/há,aluguel,3,empregado-formadoouservidorpublico,2,não,sim,1
>= 0 < 200 $,30,pgto em dia neste banco (em aberto),moveis e equipamentos,3441,>= 100 < 500 $,< 4 anos,2,femi-divorciadaoucasada,codevedor,4,carro ou outros-quitado,21,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,2
n/há,12,pgto em dia neste banco (em aberto),carro novo,640,< 100 $,< 4 anos,4,masc-divorciado,n/há,2,imovel,49,n/há,própria,1,empregado-semformacao-residente,1,não,sim,1
>= 0 < 200 $,21,conta critica / dividas com terceiros,negocios,3652,< 100 $,< 7 anos,2,masc-solteiro,n/há,3,poupança ou seguro de vida,27,n/há,própria,2,empregado-formadoouservidorpublico,1,não,sim,1
n/há,18,conta critica / dividas com terceiros,carro novo,1530,< 100 $,< 4 anos,3,masc-solteiro,n/há,2,poupança ou seguro de vida,32,banco,própria,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,48,pgto em dia neste banco (em aberto),negocios,3914,n/há,< 4 anos,4,masc-divorciado,n/há,2,imovel,38,banco,própria,1,empregado-formadoouservidorpublico,1,não,sim,2
< 0 $,12,pgto em dia neste banco (em aberto),moveis e equipamentos,1858,< 100 $,< 1 ano,4,femi-divorciadaoucasada,n/há,1,carro ou outros-quitado,22,n/há,aluguel,1,empregado-formadoouservidorpublico,1,não,sim,1
< 0 $,18,pgto em dia neste banco (em aberto),radio ou televisao,2600,< 100 $,< 4 anos,4,masc-solteiro,n/há,4,n/há,65,n/há,gratuita,2,empregado-formadoouservidorpublico,1,não,sim,2
n/há,15,pgto em dia neste banco (em aberto),radio ou televisao,1979,n/há,>= 7 anos,4,masc-solteiro,n/há,2,carro ou outros-quitado,35,n/há,própria,1,empregado-formadoouservidorpublico,1,não,sim,1
>= 200 $,6,pgto em dia neste banco (em aberto),moveis e equipamentos,2116,< 100 $,< 4 anos,2,masc-solteiro,n/há,2,imovel,41,n/há,própria,1,empregado-formadoouservidorpublico,1,sim,sim,1
